time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-18 00:00:00+00:00,204,57,21,15
2025-10-19 00:00:00+00:00,278,68,28,9
2025-10-20 00:00:00+00:00,459,124,25,21
2025-10-21 00:00:00+00:00,470,125,22,19
2025-10-22 00:00:00+00:00,155,89,40,31
2025-10-23 00:00:00+00:00,167,85,76,20
2025-10-24 00:00:00+00:00,168,87,63,14
2025-10-25 00:00:00+00:00,190,93,13,12
2025-10-26 00:00:00+00:00,300,109,10,10
2025-10-27 00:00:00+00:00,431,133,25,21
2025-10-28 00:00:00+00:00,301,133,9,9
2025-10-29 00:00:00+00:00,188,116,32,23
2025-10-30 00:00:00+00:00,156,91,21,16
2025-10-31 00:00:00+00:00,269,168,49,26
