time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-10 00:00:00+00:00,93,54,25,12
2025-05-11 00:00:00+00:00,144,70,14,7
2025-05-12 00:00:00+00:00,186,117,73,26
2025-05-13 00:00:00+00:00,116,61,65,19
2025-05-14 00:00:00+00:00,63,47,36,14
2025-05-15 00:00:00+00:00,160,61,52,18
2025-05-16 00:00:00+00:00,157,52,59,11
2025-05-17 00:00:00+00:00,146,63,17,7
2025-05-18 00:00:00+00:00,239,46,14,6
2025-05-19 00:00:00+00:00,959,100,107,23
2025-05-20 00:00:00+00:00,114,67,59,19
2025-05-21 00:00:00+00:00,105,58,122,21
2025-05-22 00:00:00+00:00,113,64,87,19
2025-05-23 00:00:00+00:00,149,38,50,20
