url_path,views_total,views_unique
/keptn/lifecycle-toolkit,211,150
/keptn/lifecycle-toolkit/issues,24,14
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,17,10
/keptn/lifecycle-toolkit/pulls,12,6
/keptn/lifecycle-toolkit/tree/main/examples/sample-app/base,8,6
/keptn/lifecycle-toolkit/blob/main/examples/sample-app/base/app-post-deploy.yaml,8,5
/keptn/lifecycle-toolkit/graphs/contributors,7,5
/keptn/lifecycle-toolkit/issues/3727,7,4
/keptn/lifecycle-toolkit/tree/main/examples,6,6
/keptn/lifecycle-toolkit/tree/main/chart,6,4
