url_path,views_total,views_unique
/keptn/lifecycle-toolkit,46,39
/keptn/lifecycle-toolkit/issues,15,14
/keptn/lifecycle-toolkit/pulls,5,3
/keptn/lifecycle-toolkit/discussions,3,3
/keptn/lifecycle-toolkit/blob/main/assets/operator-maturity.jpg,2,2
/keptn/lifecycle-toolkit/blob/main/docs/docs/reference/crd-reference/analysis.md,2,2
/keptn/lifecycle-toolkit/commit/f03426537619908a864fce0ce10595fc25e722ea,2,2
/keptn/lifecycle-toolkit/pull/740,2,2
/keptn/lifecycle-toolkit/tree/64f79b23c01adb20f392a45a06a0fc3550b3ff1f,2,2
/keptn/lifecycle-toolkit/tree/e03976d1e2a7f8e28f1a107d0a8b44b615764f40,2,2
