time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-08 00:00:00+00:00,219,89,24,11
2025-08-09 00:00:00+00:00,177,85,3,3
2025-08-10 00:00:00+00:00,460,105,11,5
2025-08-11 00:00:00+00:00,198,81,20,12
2025-08-12 00:00:00+00:00,100,56,26,16
2025-08-13 00:00:00+00:00,148,66,34,15
2025-08-14 00:00:00+00:00,67,36,11,9
2025-08-15 00:00:00+00:00,348,87,47,15
2025-08-16 00:00:00+00:00,265,71,7,7
2025-08-17 00:00:00+00:00,303,77,9,7
2025-08-18 00:00:00+00:00,121,53,23,11
2025-08-19 00:00:00+00:00,582,65,9,6
2025-08-20 00:00:00+00:00,67,42,7,3
2025-08-21 00:00:00+00:00,124,27,9,8
