time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-16 00:00:00+00:00,157,52,59,11
2025-05-17 00:00:00+00:00,146,63,17,7
2025-05-18 00:00:00+00:00,239,46,14,6
2025-05-19 00:00:00+00:00,959,100,107,23
2025-05-20 00:00:00+00:00,114,67,59,19
2025-05-21 00:00:00+00:00,105,58,122,21
2025-05-22 00:00:00+00:00,113,64,87,19
2025-05-23 00:00:00+00:00,163,41,59,22
2025-05-24 00:00:00+00:00,173,42,31,6
2025-05-25 00:00:00+00:00,163,46,42,10
2025-05-26 00:00:00+00:00,88,38,44,11
2025-05-27 00:00:00+00:00,122,59,34,18
2025-05-28 00:00:00+00:00,169,83,99,15
2025-05-29 00:00:00+00:00,108,65,134,18
