time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-28 00:00:00+00:00,3.0,2.0,51,6
2024-09-29 00:00:00+00:00,3.0,3.0,12,9
2024-09-30 00:00:00+00:00,19.0,3.0,50,19
2024-10-01 00:00:00+00:00,,,181,42
2024-10-02 00:00:00+00:00,72.0,7.0,254,25
2024-10-03 00:00:00+00:00,78.0,10.0,239,25
2024-10-04 00:00:00+00:00,40.0,7.0,126,24
2024-10-05 00:00:00+00:00,67.0,7.0,38,4
2024-10-06 00:00:00+00:00,29.0,5.0,17,7
2024-10-07 00:00:00+00:00,103.0,6.0,211,23
2024-10-08 00:00:00+00:00,67.0,6.0,192,23
2024-10-09 00:00:00+00:00,98.0,6.0,342,26
2024-10-10 00:00:00+00:00,410.0,9.0,234,22
2024-10-11 00:00:00+00:00,25.0,1.0,54,17
