time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-15 00:00:00+00:00,1619,153,602,41
2024-04-16 00:00:00+00:00,1028,88,356,34
2024-04-17 00:00:00+00:00,1373,113,337,52
2024-04-18 00:00:00+00:00,315,68,415,41
2024-04-19 00:00:00+00:00,1203,98,385,39
2024-04-20 00:00:00+00:00,199,61,47,9
2024-04-21 00:00:00+00:00,142,48,64,12
2024-04-22 00:00:00+00:00,1998,159,681,56
2024-04-23 00:00:00+00:00,1524,117,399,36
2024-04-24 00:00:00+00:00,3978,251,740,36
2024-04-25 00:00:00+00:00,542,71,203,49
2024-04-26 00:00:00+00:00,1340,110,282,31
2024-04-27 00:00:00+00:00,229,38,49,14
2024-04-28 00:00:00+00:00,27,10,17,8
