url_path,views_total,views_unique
/keptn/lifecycle-toolkit,164,117
/keptn/lifecycle-toolkit/issues,43,19
/keptn/lifecycle-toolkit/issues/3880,16,4
/keptn/lifecycle-toolkit/issues/3121,12,5
/keptn/lifecycle-toolkit/releases,10,3
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,8,6
/keptn/lifecycle-toolkit/tree/main/lifecycle-operator,8,5
/keptn/lifecycle-toolkit/graphs/contributors,7,7
/keptn/lifecycle-toolkit/tree/main,7,5
/keptn/lifecycle-toolkit/tree/main/examples/support/observability/config/prometheus,7,1
