time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-12 00:00:00+00:00,168,78,21,10
2025-09-13 00:00:00+00:00,401,95,15,9
2025-09-14 00:00:00+00:00,207,95,8,7
2025-09-15 00:00:00+00:00,225,85,95,21
2025-09-16 00:00:00+00:00,244,81,70,12
2025-09-17 00:00:00+00:00,118,58,28,16
2025-09-18 00:00:00+00:00,148,47,61,16
2025-09-19 00:00:00+00:00,102,47,68,14
2025-09-20 00:00:00+00:00,128,42,13,12
2025-09-21 00:00:00+00:00,181,73,7,7
2025-09-22 00:00:00+00:00,159,56,33,15
2025-09-23 00:00:00+00:00,69,32,16,11
2025-09-24 00:00:00+00:00,131,37,49,26
2025-09-25 00:00:00+00:00,132,46,77,16
