url_path,views_total,views_unique
/keptn/lifecycle-toolkit,207,147
/keptn/lifecycle-toolkit/issues,21,12
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,16,10
/keptn/lifecycle-toolkit/pulls,12,6
/keptn/lifecycle-toolkit/tree/main/examples/sample-app/base,7,6
/keptn/lifecycle-toolkit/blob/main/examples/sample-app/base/app-post-deploy.yaml,7,5
/keptn/lifecycle-toolkit/graphs/contributors,7,5
/keptn/lifecycle-toolkit/tree/main/examples,6,6
/keptn/lifecycle-toolkit/issues/3867,6,5
/keptn/lifecycle-toolkit/tree/main/chart,6,4
