url_path,views_total,views_unique
/keptn/lifecycle-toolkit,162,122
/keptn/lifecycle-toolkit/issues,11,5
/keptn/lifecycle-toolkit/tree/main/examples,8,7
/keptn/lifecycle-toolkit/tree/main/examples/sample-app,7,6
/keptn/lifecycle-toolkit/blob/main/examples/sample-app/README.md,7,2
/keptn/lifecycle-toolkit/blob/main/assets/operator-maturity.jpg,6,5
/keptn/lifecycle-toolkit/releases,6,5
/keptn/lifecycle-toolkit/issues/2823,5,2
/keptn/lifecycle-toolkit/tree/main/examples/support/analysis,5,1
/keptn/lifecycle-toolkit/issues/454,4,4
