time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-22 00:00:00+00:00,2047,125,651,37
2024-01-23 00:00:00+00:00,2169,130,862,39
2024-01-24 00:00:00+00:00,2261,133,1088,42
2024-01-25 00:00:00+00:00,1799,138,1084,64
2024-01-26 00:00:00+00:00,585,54,769,48
2024-01-27 00:00:00+00:00,117,16,420,22
2024-01-28 00:00:00+00:00,126,19,538,24
2024-01-29 00:00:00+00:00,1269,85,774,48
2024-01-30 00:00:00+00:00,845,122,557,40
2024-01-31 00:00:00+00:00,2192,136,1482,52
2024-02-01 00:00:00+00:00,2709,150,1048,51
2024-02-02 00:00:00+00:00,2228,125,965,69
2024-02-03 00:00:00+00:00,108,29,123,14
2024-02-04 00:00:00+00:00,41,24,339,18
