url_path,views_total,views_unique
/keptn/lifecycle-toolkit,68,58
/keptn/lifecycle-toolkit/issues,12,6
/keptn/lifecycle-toolkit/pulls,10,8
/keptn/lifecycle-toolkit/discussions,5,5
/keptn/lifecycle-toolkit/blob/main/chart/Chart.yaml,3,2
/keptn/lifecycle-toolkit/actions/runs/22810592591/job/66166727135,3,1
/keptn/lifecycle-toolkit/tree/main/test/chainsaw,3,1
/keptn/lifecycle-toolkit/,2,2
/keptn/lifecycle-toolkit/actions/workflows/update-labels.yml,2,2
/keptn/lifecycle-toolkit/blob/3359d2b5f48c48e145d85604c12c93d5a3363c56/examples/podtatohead-deployment,2,2
