time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-22 00:00:00+00:00,48.0,10.0,13,12
2024-12-23 00:00:00+00:00,43.0,7.0,23,15
2024-12-24 00:00:00+00:00,,,63,14
2024-12-25 00:00:00+00:00,29.0,8.0,23,8
2024-12-26 00:00:00+00:00,30.0,6.0,14,13
2024-12-27 00:00:00+00:00,4.0,3.0,22,7
2024-12-28 00:00:00+00:00,4.0,4.0,4,2
2024-12-29 00:00:00+00:00,5.0,4.0,5,5
2024-12-30 00:00:00+00:00,14.0,2.0,41,10
2024-12-31 00:00:00+00:00,6.0,4.0,14,9
2025-01-01 00:00:00+00:00,5.0,4.0,33,14
2025-01-02 00:00:00+00:00,9.0,5.0,18,12
2025-01-03 00:00:00+00:00,15.0,11.0,25,9
2025-01-04 00:00:00+00:00,26.0,8.0,9,7
