time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-14 00:00:00+00:00,185,50,1,1
2025-06-15 00:00:00+00:00,229,60,6,6
2025-06-16 00:00:00+00:00,292,103,73,20
2025-06-17 00:00:00+00:00,114,64,67,23
2025-06-18 00:00:00+00:00,159,47,51,19
2025-06-19 00:00:00+00:00,196,71,73,12
2025-06-20 00:00:00+00:00,231,86,15,11
2025-06-21 00:00:00+00:00,129,46,21,10
2025-06-22 00:00:00+00:00,186,23,8,5
2025-06-23 00:00:00+00:00,92,24,152,26
2025-06-24 00:00:00+00:00,50,14,105,28
2025-06-25 00:00:00+00:00,33,11,85,24
2025-06-26 00:00:00+00:00,163,59,37,13
2025-06-27 00:00:00+00:00,110,47,46,17
