time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-04 00:00:00+00:00,216,60,16,9
2025-10-05 00:00:00+00:00,125,38,42,11
2025-10-06 00:00:00+00:00,193,33,19,14
2025-10-07 00:00:00+00:00,74,38,24,18
2025-10-08 00:00:00+00:00,154,95,23,15
2025-10-09 00:00:00+00:00,186,97,26,13
2025-10-10 00:00:00+00:00,360,107,10,8
2025-10-11 00:00:00+00:00,139,56,11,7
2025-10-12 00:00:00+00:00,112,40,12,11
2025-10-13 00:00:00+00:00,198,47,16,14
2025-10-14 00:00:00+00:00,196,52,46,23
2025-10-15 00:00:00+00:00,67,32,21,16
2025-10-16 00:00:00+00:00,231,89,29,19
2025-10-17 00:00:00+00:00,262,114,24,20
