time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-07 00:00:00+00:00,537,237,31,21
2026-08-08 00:00:00+00:00,451,158,30,25
2026-08-09 00:00:00+00:00,677,142,38,34
2026-08-10 00:00:00+00:00,1811,627,60,42
2026-08-11 00:00:00+00:00,221,110,44,32
2026-08-12 00:00:00+00:00,772,257,57,46
2026-08-13 00:00:00+00:00,319,130,63,52
2026-08-14 00:00:00+00:00,93,48,43,37
2026-08-15 00:00:00+00:00,520,115,43,40
2026-08-16 00:00:00+00:00,782,132,34,30
2026-08-17 00:00:00+00:00,202,32,41,35
2026-08-18 00:00:00+00:00,124,35,35,29
2026-08-19 00:00:00+00:00,200,41,60,45
2026-08-20 00:00:00+00:00,112,42,75,69
